1652555854.095747 client started (38791): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1652555854.095799 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101
1652555854.096109 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1652555854.099710 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099714 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099719 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099725 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099732 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099738 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099744 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099750 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099757 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099763 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099770 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099777 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099784 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099790 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099796 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099802 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099808 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099814 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099818 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099822 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099826 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099831 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099836 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099842 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099847 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099852 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099858 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099873 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099878 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099883 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099888 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099893 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099898 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099903 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099908 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099914 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099919 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099925 sending message 112 to peer 0x128048000 (11 bytes)
1652555854.099930 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099935 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099940 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099945 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099949 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099955 sending message 112 to peer 0x128048000 (21 bytes)
1652555854.099959 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.099963 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.099967 sending message 112 to peer 0x128048000 (6 bytes)
1652555854.099972 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099979 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.099985 sending message 112 to peer 0x128048000 (24 bytes)
1652555854.099992 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.099998 sending message 112 to peer 0x128048000 (9 bytes)
1652555854.100003 sending message 112 to peer 0x128048000 (70 bytes)
1652555854.100009 sending message 112 to peer 0x128048000 (69 bytes)
1652555854.100014 sending message 112 to peer 0x128048000 (12 bytes)
1652555854.100019 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.100025 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.100031 sending message 112 to peer 0x128048000 (24 bytes)
1652555854.100035 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.100040 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.100047 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.100054 sending message 112 to peer 0x128048000 (10 bytes)
1652555854.100060 sending message 112 to peer 0x128048000 (13 bytes)
1652555854.100066 sending message 112 to peer 0x128048000 (15 bytes)
1652555854.100072 sending message 112 to peer 0x128048000 (5 bytes)
1652555854.100079 sending message 104 to peer 0x128048000 (0 bytes)
1652555854.100085 sending message 110 to peer 0x128048000 (0 bytes)
1652555854.100093 sending message 107 to peer 0x128048000 (4 bytes)
1652555854.100099 sending message 105 to peer 0x128048000 (60 bytes)
1652555854.100105 sending message 105 to peer 0x128048000 (66 bytes)
1652555854.100111 sending message 105 to peer 0x128048000 (27 bytes)
1652555854.100116 sending message 105 to peer 0x128048000 (15 bytes)
